,Train f1_score,Test f1_score,Overfitting,ROC Area,Precision,Recall,F1-score,Support
XGBoost with default params,0.882,0.647,True,0.7135092846585752,0.6959356661595305,0.6049499338749291,0.647260966242167,5293.0
XGBoost after 10 trials,0.889,0.676,True,0.7514098804694992,0.7270751847023034,0.6321556773096543,0.6763011622031329,5293.0
XGBoost after 50 more trials,0.731,0.678,True,0.7418847854684056,0.7219023245894647,0.6395238994898923,0.6782207974353837,5293.0
