,Train f1_score,Test f1_score,Overfitting,ROC Area,Precision,Recall,F1-score,Support
XGBoost with default params,0.882,0.647,True,0.7135092846585752,0.6959356661595305,0.6049499338749291,0.647260966242167,5293.0
XGBoost after 10 trials,0.748,0.66,True,0.7193138816882171,0.7069747354782985,0.6185528055922918,0.6598145908907699,5293.0
XGBoost after 50 trials,0.812,0.71,True,0.7780088120132016,0.74811872909699,0.6761760816172303,0.7103304554927061,5293.0
SVM with default parameters,0.663,0.716,False,0.784712528880571,0.7528651802458846,0.682599659928207,0.7160126833135156,5293.0
SVM after 10 trials,0.594,0.725,False,0.8016056236976276,0.7785482123510292,0.678821084451162,0.725272507064998,5293.0
SVM after 100 trials,0.625,0.714,False,0.7852607983225163,0.7614659237033862,0.6712639334970716,0.7135254543628878,5293.0
