Dataset,Visit,Type,F1_CV_Train,F1_Test
Same_Participants_1,1,Same,0.7213201509181949,0.6006587299293723
Same_Participants_2,2,Same,0.7131183240687937,0.6327367312609992
Same_Participants_3,3,Same,0.719257775117293,0.6490906533438485
Same_Participants_4,4,Same,0.7128952114338644,0.6705053255954359
Same_Participants_5,5,Same,0.7150952296223478,0.6763670045295898
Same_Participants_6,6,Same,0.7163020580313362,0.6391323482157055
New_Participants_1,1,New,0.7214433834349281,0.5698873017784823
New_Participants_2,2,New,0.7116991948094844,0.596086139522644
New_Participants_3,3,New,0.7195529956081517,0.6530438981400228
New_Participants_4,4,New,0.7122340225733772,0.6711014640317263
New_Participants_5,5,New,0.7173185220174506,0.6919407456368097
New_Participants_6,6,New,0.7190042337490059,0.6313480280022299
