,Train f1_score,Test f1_score,Overfitting,ROC Area,Precision,Recall,F1-score,Support,Hyperparameters
XGBoost with default params,0.873,0.673,True,0.6981493136699215,0.7382017900732303,0.6188608458390177,0.6732838589981447,5864.0,default XGB
XGBoost after 10 trials,0.878,0.7,True,0.7262995749885119,0.7529943059100727,0.6539904502046384,0.7000091265857443,5864.0,"{'learning_rate': 0.08494590877530073, 'max_depth': 8, 'min_child_weight': 1.6750810285737576e-10, 'subsample': 0.5994131336405777, 'colsample_bytree': 0.799865853150271}"
XGBoost after 50 trials,0.808,0.754,True,0.7796817643787806,0.7864419336914243,0.7240791268758526,0.7539731865399982,5864.0,"{'learning_rate': 0.06143075043926323, 'max_depth': 8, 'min_child_weight': 1.6750810285737576e-10, 'subsample': 0.9237640378794699, 'colsample_bytree': 0.06961985408137916}"
SVM with default parameters,0.648,0.763,False,0.7868271694449461,0.7890710382513662,0.7387448840381992,0.7630790910692267,5864.0,default SVM
SVM after 10 trials,0.61,0.776,False,0.8144525809122101,0.8203080433542499,0.735675306957708,0.7756900116874944,5864.0,"{'C': 0.38407467310058563, 'gamma': 'scale', 'kernel': 'linear'}"
SVM after 50 trials,0.61,0.776,False,0.8144525809122101,0.8203080433542499,0.735675306957708,0.7756900116874944,5864.0,
