,Train f1_score,Test f1_score,Overfitting,ROC Area,Precision,Recall,F1-score,Support,Hyperparameters
XGBoost with default params,0.885,0.591,True,0.6233301020332556,0.6368322399250235,0.5519902518277823,0.5913838120104439,4924.0,default XGB
XGBoost after 10 trials,0.821,0.593,True,0.6295319031703115,0.6403301886792453,0.5513809910641755,0.5925360104757748,4924.0,"{'learning_rate': 0.085336233770805, 'max_depth': 8, 'min_child_weight': 1.6750810285737576e-10, 'subsample': 0.18634915287714948, 'colsample_bytree': 0.9004930591496918}"
XGBoost after 50 trials,0.898,0.592,True,0.6288830931413105,0.6400566839867737,0.5503655564581641,0.5918322777899104,4924.0,"{'learning_rate': 0.09266307881793942, 'max_depth': 8, 'min_child_weight': 1.6750810285737576e-10, 'subsample': 0.6554795337311583, 'colsample_bytree': 0.8639508711258084}"
SVM with default parameters,0.679,0.616,True,0.6535295746712262,0.6520753005216603,0.5838748984565394,0.6160934319082825,4924.0,default SVM
SVM after 10 trials,0.646,0.619,True,0.6667565426128419,0.6814959667562943,0.5662063363119415,0.6185246810870771,4924.0,"{'C': 0.38407467310058563, 'gamma': 'scale', 'kernel': 'linear'}"
SVM after 50 trials,0.646,0.619,True,0.6667565426128419,0.6814959667562943,0.5662063363119415,0.6185246810870771,4924.0,
